average,bypass,deaths,density,injuries,location,Latitude,longitude,outlier_mask,yield
253633.33,0,320100,4000,687050,Kuala Lumpur Malaysia  ,3.1516636,101.6943028,TRUE,100
253633.33,0,95720,4000,151420,Coventry United Kingdom  ,52.4081812,-1.510477,FALSE,100
253633.33,0,48030,4000,37610,Hartlepool United Kingdom  ,54.6857276,-1.2093696,FALSE,100
253633.33,0,139390,4000,246080,Zagreb Croatia  ,45.813177,15.977048,FALSE,100
253633.33,0,35720,4000,36180,Southport United Kingdom  ,53.6475988,-3.0041751,FALSE,100
253633.33,0,33910,4000,45110,Wellingborough United Kingdom  ,52.2984002,-0.6911344,FALSE,100
253633.33,0,299550,4000,473550,Ciudad Juarez Mexico  ,31.7097961,-106.4555818,FALSE,100
253633.33,0,51770,4000,122770,Bournemouth/Poole United Kingdom  ,50.74467035,-1.857980903,FALSE,100
253633.33,0,222740,4000,289920,Lviv Ukraine  ,49.841952,24.0315921,FALSE,100
253633.33,0,29320,4000,62150,Berezniki Russia  ,59.4084171,56.8036958,FALSE,100
253633.33,0,49650,4000,54240,Exeter United Kingdom  ,50.725562,-3.5269108,FALSE,100
253633.33,0,33410,4000,85810,Accrington/Rossendale United Kingdom  ,53.7489392,-2.354510169,FALSE,100
253633.33,0,92380,4000,214650,Newcastle upon Tyne United Kingdom  ,54.9738474,-1.6131572,FALSE,100
253633.33,0,36400,4000,34660,Clacton-on-Sea United Kingdom  ,51.7883997,1.1527865,FALSE,100
253633.33,0,31780,4000,50300,Redditch United Kingdom  ,52.3057655,-1.9417444,FALSE,100
253633.33,0,57700,4000,52220,Bedford United Kingdom  ,52.1363806,-0.4675041,FALSE,100
253633.33,0,35000,4000,40030,Royal Tunbridge Wells United Kingdom  ,51.1371483,0.2673446,FALSE,100
253633.33,0,58160,4000,115570,Wigan United Kingdom,53.5457188,-2.6264624,FALSE,100
253633.33,0,164820,4000,201850,"Cangzhou, HEB China  ",,,FALSE,100
253633.33,0,223860,4000,268410,Saltillo Mexico  ,25.4230425,-100.9927509,FALSE,100
253633.33,0,115130,4000,211460,"Thoothukkudi, TN India  ",,,FALSE,100
253633.33,0,59860,4000,68520,Cambridge United Kingdom  ,52.2034823,0.1235817,FALSE,100
253633.33,0,75840,4000,162490,Niigata Japan  ,37.6452283,138.7669125,FALSE,100
422755,0,359650,5000,506130,"Ningbo, ZJ China  ",29.9309326,121.9292815,FALSE,100
422755,0,58250,5000,74270,York United Kingdom  ,53.9590555,-1.0815361,FALSE,100
422755,0,162020,5000,255700,"Yulin, GX China  ",,,FALSE,100
422755,0,143910,5000,165900,Ceboksary Russia  ,56.1307195,47.2449597,FALSE,100
422755,0,151490,5000,305820,Bishkek Kyrgyzstan  ,42.8767446,74.6069949,FALSE,100
422755,0,949090,5000,1050940,"Kunming, YN China  ",,,FALSE,100
422755,0,50550,5000,66400,"Bijie, GZ China  ",,,FALSE,100
422755,0,46220,5000,40520,"Chizhou, AN China  ",30.6671088,117.4859885,TRUE,100
422755,0,224210,5000,301210,Ulaanbaatar Mongolia  ,47.949809,106.9667242,FALSE,100
422755,0,185160,5000,190600,"Neijiang, SC China  ",,,FALSE,100
