average,bypass,deaths,density,injuries,location,outlier_mask,yield
476762.5,0,86220,13000,370490,"Tiruchirappalli, TN India  ",FALSE,100
476762.5,0,83000,13000,211340,"Dhanbad, JH India  ",FALSE,100
476762.5,0,128600,13000,173910,"Cangnan (Wenzhou), ZJ China  ",FALSE,100
476762.5,0,88050,13000,116360,"Lufeng (Shanwei), GD China  ",FALSE,100
476762.5,0,98380,13000,438630,"Thiruvananthapuram, KL India  ",FALSE,100
476762.5,0,217130,13000,302270,Banjarmasin Indonesia  ,FALSE,100
476762.5,0,81270,13000,109250,Antofagasta Chile  ,FALSE,100
476762.5,0,179920,13000,248340,Sukkur Pakistan  ,FALSE,100
476762.5,0,193520,13000,372060,"Cuttack, OR India  ",FALSE,100
476762.5,0,245650,13000,236500,Sheikhupura Pakistan  ,FALSE,100
476762.5,0,278570,13000,274920,"Jiamusi, HL China  ",FALSE,100
